user_id,email,first_name,last_name,age,gender,country,state_province,city,subscription_plan,subscription_start_date,is_active,monthly_spend,primary_device,household_size,created_at
user_00001,figueroajohn@example.org,Erica,Garza,43,Male,USA,Massachusetts,North Jefferyhaven,Basic,08-04-2024,TRUE,36.06,Laptop,1,40:50.5
user_00002,blakeerik@example.com,Joshua,Bernard,38,Male,USA,Texas,North Noahstad,Premium+,24-05-2024,TRUE,14.59,Desktop,2,39:11.0
user_00003,smiller@example.net,Barbara,Williams,32,Female,USA,Michigan,Traciebury,Standard,22-09-2023,FALSE,11.71,Desktop,3,27:49.6
user_00004,mitchellclark@example.com,Chelsea,Ferguson,11,Male,USA,Ohio,South Noah,Standard,21-08-2024,TRUE,28.56,Laptop,2,01:59.6
user_00005,richard13@example.net,Jason,Foster,21,Female,USA,Arizona,West Donald,Standard,28-10-2024,TRUE,9.54,Desktop,6,59:30.1
user_00006,jeffrey28@example.com,Katelyn,Hernandez,43,Female,Canada,Quebec,Carlsonfurt,Standard,16-05-2024,TRUE,,Gaming Console,2,57:36.1
user_00007,maldonadoamanda@example.com,Daniel,Moore,63,,USA,Maryland,Teresaburgh,Premium,13-03-2025,TRUE,27.74,Desktop,1,18:23.3
user_00008,nathanielmartin@example.net,Carol,Smith,,Male,Canada,New Brunswick,Johnbury,Basic,03-11-2022,TRUE,6.69,Tablet,1,53:02.1
user_00009,donnaarroyo@example.org,Allison,Brandt,24,Male,USA,North Carolina,Raymondstad,Premium,13-04-2025,TRUE,12.21,Gaming Console,5,46:23.4
user_00010,morganbrianna@example.org,Adrian,Perez,24,Male,USA,Pennsylvania,Chadbury,Basic,04-08-2024,TRUE,23.18,Laptop,1,04:39.4
user_00011,kristenaguirre@example.org,Collin,Gomez,67,Female,USA,Ohio,Shieldston,Basic,07-10-2022,TRUE,556.13,Desktop,2,05:50.5
user_00012,jamesherrera@example.org,Isaiah,Wright,41,Female,USA,Missouri,Mortonside,Premium,26-09-2022,TRUE,29.23,Tablet,2,39:28.2
user_00013,richardolson@example.com,Franklin,Galloway,32,Female,USA,Ohio,Mitchellside,Basic,18-01-2023,TRUE,18.68,Gaming Console,3,38:00.3
user_00014,adkinsbrian@example.net,Wesley,Brown,22,Male,USA,Pennsylvania,North Brooke,Basic,18-10-2023,TRUE,25.19,Laptop,2,41:18.6
user_00015,barnesbrandy@example.net,Sarah,Santiago,45,Female,Canada,Alberta,West Randy,Basic,16-12-2023,FALSE,5.14,Mobile,3,39:47.2
user_00016,medinawilliam@example.org,Nicole,Wood,50,Female,USA,Pennsylvania,Bassport,Standard,02-08-2024,TRUE,3.36,Laptop,1,20:29.1
user_00017,josephpreston@example.net,Joseph,Robbins,25,Female,USA,Indiana,Williamview,Premium,11-11-2022,TRUE,,Smart TV,1,17:27.1
user_00018,cookdavid@example.com,Joyce,Hoffman,36,Female,USA,Tennessee,Lake Rebeccaside,Basic,01-02-2025,TRUE,8.78,Laptop,6,54:48.5
user_00019,michael05@example.org,Elizabeth,Deleon,26,Other,USA,Ohio,East Michelle,Premium,25-03-2025,TRUE,10.28,Mobile,7,23:22.3
user_00020,vpham@example.org,Erik,Reyes,31,Female,USA,Indiana,Walkermouth,Premium+,02-07-2023,TRUE,11.32,Tablet,,58:29.6
user_00021,emurphy@example.com,Darlene,Frazier,38,Female,Canada,Alberta,North Natalieview,Basic,29-04-2024,TRUE,17.24,Laptop,3,45:07.8
user_00022,jessica56@example.net,Paul,Scott,33,Male,USA,Florida,New Saraside,Premium+,05-09-2023,TRUE,,Gaming Console,2,30:36.0
user_00023,elizabeth14@example.net,Elizabeth,Powell,40,Female,Canada,New Brunswick,East Robert,Basic,13-08-2024,TRUE,,Gaming Console,3,03:36.1
user_00024,akelley@example.com,Jason,Marshall,,Female,Canada,British Columbia,New Thomas,Standard,24-07-2024,TRUE,23.83,Desktop,2,40:40.0
user_00025,cardenaskaren@example.net,Jeffrey,Hernandez,36,Male,USA,New York,South Cheryl,Premium+,14-12-2023,FALSE,11.97,Tablet,,14:08.2
user_00026,jross@example.net,Patricia,Osborne,60,Prefer not to say,Canada,Ontario,Port Susan,Basic,26-09-2022,TRUE,36.53,Smart TV,2,39:28.1
user_00027,danderson@example.net,Stephanie,Salazar,37,Female,USA,Michigan,Merrittfort,Basic,13-05-2023,TRUE,17.72,Mobile,2,48:05.3
user_00028,rsims@example.com,Jennifer,Nelson,,Male,USA,Indiana,East Edwardfurt,Standard,14-09-2024,TRUE,41.44,Laptop,3,35:21.0
user_00029,nperry@example.com,Rebecca,Gates,28,Female,USA,Washington,Smithstad,Basic,04-11-2024,TRUE,12.06,Gaming Console,2,25:44.1
user_00030,brobinson@example.com,Paul,Ramsey,24,,USA,Indiana,New Amanda,Premium,11-05-2024,TRUE,10.17,Laptop,4,16:54.7
user_00031,michellewhite@example.com,Mark,Murphy,26,Male,USA,Massachusetts,Karenchester,Premium+,02-02-2025,TRUE,18.19,Tablet,2,25:10.8
user_00032,jeffrey10@example.org,James,Howell,56,Male,USA,Pennsylvania,South Elizabeth,Premium+,24-12-2023,TRUE,7.49,Gaming Console,4,01:33.5
user_00033,stricklandfrank@example.com,Beth,Johnston,60,Male,USA,California,Davidborough,Standard,11-05-2024,TRUE,27.09,Smart TV,2,25:08.8
user_00034,hoganashlee@example.org,Amanda,Jones,32,,USA,Massachusetts,Port Robertfort,Standard,20-11-2023,TRUE,,Gaming Console,,51:05.2
